Brand;Model;Engine;Year;Km;City;Price;Link
Land;Rover Range Rover Sport D350 III;3.0 л / 350 л.с. / Дизель;2023;1 000 км;Красногорск;19 990 000 ;https://auto.ru/cars/used/sale/land_rover/range_rover_sport/1119203592-d4da81d7/
GAC;GS8 I;2.0 л / 190 л.с. / Бензин;2023;1 000 км;Ижевск;3 600 000 ;https://auto.ru/cars/used/sale/gac/gs8/1119104801-2ee49e07/
Mercedes-Benz;G-Класс AMG 63 AMG II (W463);4.0 л / 585 л.с. / Бензин;2023;1 000 км;Москва;27 270 000 ;https://auto.ru/cars/used/sale/mercedes/g_klasse_amg/1119204466-f1bc2272/
Hyundai;Palisade I Рестайлинг;2.2 л / 200 л.с. / Дизель;2023;1 000 км;Москва;7 330 000 ;https://auto.ru/cars/used/sale/hyundai/palisade/1119203472-fd5a14b7/
Hyundai;Palisade I Рестайлинг;2.2 л / 200 л.с. / Дизель;2023;1 000 км;Москва;7 330 000 ;https://auto.ru/cars/used/sale/hyundai/palisade/1119203472-fd5a14b7/
Toyota;Land Cruiser 300 Series;3.4 л / 309 л.с. / Дизель;2023;1 000 км;Москва;12 430 000 ;https://auto.ru/cars/used/sale/toyota/land_cruiser/1119019059-401ad61e/
Lexus;RX 350 V;2.4 л / 279 л.с. / Бензин;2023;1 000 км;Самара;9 900 000 ;https://auto.ru/cars/used/sale/lexus/rx/1119081752-3c814c3c/
УАЗ;Hunter 315195;2.9 л / 104 л.с. / Бензин;2023;3 000 км;Владимир;1 420 000 ;https://auto.ru/cars/used/sale/uaz/hunter/1118791063-dafd6865/
LADA;(ВАЗ) Niva Legend;1.7 л / 83 л.с. / Бензин;2023;4 000 км;Москва;1 020 000 ;https://auto.ru/cars/used/sale/vaz/niva_legend/1119201392-c5528b96/
Chery;Tiggo 4 Pro;1.5 л / 147 л.с. / Бензин;2023;3 000 км;Ростов-на-Дону;2 280 000 ;https://auto.ru/cars/used/sale/chery/tiggo_4_pro/1119204067-7ab45488/
Kia;Carnival IV;2.2 л / 199 л.с. / Дизель;2023;1 000 км;Москва;5 410 000 ;https://auto.ru/cars/used/sale/kia/carnival/1119201427-39d59c39/
Kia;Carnival IV;3.5 л / 294 л.с. / Бензин;2023;1 000 км;Москва;5 350 000 ;https://auto.ru/cars/used/sale/kia/carnival/1119201406-690a0589/
Kia;Carnival IV;2.0 л / 233 л.с. / Бензин;2023;1 000 км;Москва;5 410 000 ;https://auto.ru/cars/used/sale/kia/carnival/1119201362-1c04c946/
Hyundai;Tucson IV;2.5 л / 190 л.с. / Бензин;2023;1 000 км;Москва;3 550 000 ;https://auto.ru/cars/used/sale/hyundai/tucson/1119201295-c40671a6/
Hyundai;Santa Fe IV Рестайлинг;2.5 л / 281 л.с. / Бензин;2023;1 000 км;Москва;4 450 000 ;https://auto.ru/cars/used/sale/hyundai/santa_fe/1119201285-78cefd27/
Hyundai;Santa Fe IV Рестайлинг;2.5 л / 281 л.с. / Бензин;2023;1 000 км;Москва;4 500 000 ;https://auto.ru/cars/used/sale/hyundai/santa_fe/1119201283-b18fb646/
Hyundai;Santa Fe IV Рестайлинг;2.5 л / 281 л.с. / Бензин;2023;1 000 км;Москва;4 400 000 ;https://auto.ru/cars/used/sale/hyundai/santa_fe/1119201264-71dc58c9/
Hyundai;Elantra VII (CN7);2.0 л / 150 л.с. / Бензин;2023;5 000 км;Москва;2 320 000 ;https://auto.ru/cars/used/sale/hyundai/elantra/1119201252-c98984ea/
Hyundai;Elantra VII (CN7);1.6 л / 128 л.с. / Бензин;2023;2 000 км;Москва;2 380 000 ;https://auto.ru/cars/used/sale/hyundai/elantra/1119201251-6e2ba359/
Subaru;Forester V Рестайлинг;2.5 л / 185 л.с. / Бензин;2023;Новый;Новосибирск;5 860 000 ;https://auto.ru/cars/new/group/subaru/forester/23129863/23130151/1119206528-510608bd/
Kia;Stinger I Рестайлинг;2.0 л / 247 л.с. / Бензин;2023;1 000 км;Ростов-на-Дону;3 990 000 ;https://auto.ru/cars/used/sale/kia/stinger/1118583331-129f75c9/
Mercedes-Benz;GLC 220 d II (X254);2.0 л / 197 л.с. / Дизель;2023;Новый;Жуковка;9 600 000 ;https://auto.ru/cars/new/group/mercedes/glc_klasse/23296810/23559039/1119206300-78149248/
